UWI,Formatted UWI,CA Number,CA Core Number,CA Interval Top,Line Core,Interval Depth (m),Interval Length,Kmax,K90,Kvert,Porosity,Grain Density,Bulk Density,Bulk Mass Oil,Bulk Mass Water,Bulk Mass Sand,Pore Volume Oil,Pore Volume Water,Bulk Volume Oil,Bulk Volume Water,Grain Mass Oil,Grain Mass Water,Lithology
100152205216W500,100/15-22-052-16W5/00,023288,1,1894.03,DE,1894.03,5.91,,,,,,,,,,,,,,,,NOT ANALYSED - SHALE
100152205216W500,100/15-22-052-16W5/00,023288,1,1894.03,FD,1899.94,0.09,0.21,0.16,0.11,0.022,3080.0,,,,,,,,,,,SS  M   P/S SID
100152205216W500,100/15-22-052-16W5/00,023288,1,1894.03,FD,1900.03,0.06,110.0,106.0,2.89,0.099,2680.0,,,,,,,,,,,SS  M   P/S SH
100152205216W500,100/15-22-052-16W5/00,023288,1,1894.03,DE,1900.09,0.12,,,,,,,,,,,,,,,,NOT ANALYSED - SHALE
100152205216W500,100/15-22-052-16W5/00,023288,1,1894.03,DE,1900.21,0.07,,,,,,,,,,,,,,,,NOT ANALYSED - ANHYDRITE
100152205216W500,100/15-22-052-16W5/00,023288,1,1894.03,FD,1900.28,0.12,51.3,33.4,5.56,0.156,2810.0,,,,,,,,,,,SS  M   P/S
100152205216W500,100/15-22-052-16W5/00,023288,1,1894.03,DE,1900.4,0.09,,,,,,,,,,,,,,,,NOT ANALYSED - ANHYDRITE
100152205216W500,100/15-22-052-16W5/00,023288,1,1894.03,FD,1900.49,0.15,39.3,6.58,0.57,0.09,2980.0,,,,,,,,,,,SS  M   P/S SID
100152205216W500,100/15-22-052-16W5/00,023288,1,1894.03,FD,1900.64,0.21,5.34,4.55,1.37,0.109,2940.0,,,,,,,,,,,SS  M   P/S SID
100152205216W500,100/15-22-052-16W5/00,023288,1,1894.03,FD,1900.85,0.1,1.74,0.17,0.01,0.06,3060.0,,,,,,,,,,,SS  M   P/S SID
100152205216W500,100/15-22-052-16W5/00,023288,1,1894.03,SS,1900.95,0.03,2.08,1.38,0.9,0.167,,,,,,,,,,,,SS  F
100152205216W500,100/15-22-052-16W5/00,023288,1,1894.03,FD,1900.98,0.3,0.08,0.07,0.01,0.056,2940.0,,,,,,,,,,,SS  M   P/S SID
100152205216W500,100/15-22-052-16W5/00,023288,1,1894.03,FD,1901.28,0.09,8.95,6.35,0.76,0.117,2860.0,,,,,,,,,,,SS  M   P/S SID
100152205216W500,100/15-22-052-16W5/00,023288,1,1894.03,FD,1901.37,0.28,0.03,0.01,0.01,0.049,2920.0,,,,,,,,,,,SS  F   SID
100152205216W500,100/15-22-052-16W5/00,023288,1,1894.03,FD,1901.65,0.21,8.12,0.23,0.01,0.054,2890.0,,,,,,,,,,,SS  M   P/S SID
100152205216W500,100/15-22-052-16W5/00,023288,1,1894.03,FD,1901.86,0.37,0.25,0.21,0.01,0.075,2920.0,,,,,,,,,,,SS  M   P/S SID
100152205216W500,100/15-22-052-16W5/00,023288,1,1894.03,FD,1902.23,0.21,0.98,0.9,0.38,0.079,2860.0,,,,,,,,,,,SS  M   P/S SID
100152205216W500,100/15-22-052-16W5/00,023288,1,1894.03,FD,1902.44,0.15,6.21,4.68,1.83,0.107,2790.0,,,,,,,,,,,SS  M   P/S
100152205216W500,100/15-22-052-16W5/00,023288,1,1894.03,DE,1902.59,0.06,,,,,,,,,,,,,,,,NOT ANALYSED - DENSE
100152205216W500,100/15-22-052-16W5/00,023288,1,1894.03,FD,1902.65,0.16,157.0,124.0,1.78,0.116,2850.0,,,,,,,,,,,SS  M   P/S SID
100152205216W500,100/15-22-052-16W5/00,023288,1,1894.03,FD,1902.81,0.12,0.79,0.41,0.07,0.066,3010.0,,,,,,,,,,,SS  M   P/S SID
100152205216W500,100/15-22-052-16W5/00,023288,1,1894.03,FD,1902.93,0.12,35.4,35.1,6.85,0.129,2850.0,,,,,,,,,,,SS  M   P/S SID
100152205216W500,100/15-22-052-16W5/00,023288,1,1894.03,DE,1903.05,0.09,,,,,,,,,,,,,,,,NOT ANALYSED - ANHYDRITE
100152205216W500,100/15-22-052-16W5/00,023288,1,1894.03,SS,1903.14,0.03,70.3,57.1,28.9,0.173,,,,,,,,,,,,SS  F
100152205216W500,100/15-22-052-16W5/00,023288,1,1894.03,DE,1903.17,0.09,,,,,,,,,,,,,,,,NOT ANALYSED - DENSE
100152205216W500,100/15-22-052-16W5/00,023288,1,1894.03,FD,1903.26,0.16,12.0,9.81,1.16,0.081,2750.0,,,,,,,,,,,SS  F   SH  SID
100152205216W500,100/15-22-052-16W5/00,023288,1,1894.03,FD,1903.42,0.12,3.97,3.78,0.48,0.042,2680.0,,,,,,,,,,,SS  F   ARGL
100152205216W500,100/15-22-052-16W5/00,023288,1,1894.03,DE,1903.54,0.21,,,,,,,,,,,,,,,,NOT ANALYSED - SHALE
100152205216W500,100/15-22-052-16W5/00,023288,1,1894.03,FD,1903.75,0.18,48.6,25.9,2.82,0.061,2660.0,,,,,,,,,,,SS  F   ARGL
100152205216W500,100/15-22-052-16W5/00,023288,1,1894.03,FD,1903.93,0.13,7.68,4.17,1.52,0.049,2650.0,,,,,,,,,,,SS  F   ARGL
100152205216W500,100/15-22-052-16W5/00,023288,1,1894.03,DE,1904.06,0.03,,,,,,,,,,,,,,,,NOT ANALYSED - ANHYDRITE
100152205216W500,100/15-22-052-16W5/00,023288,1,1894.03,FD,1904.09,0.33,8.06,2.85,0.56,0.046,2670.0,,,,,,,,,,,SS  F   ARGL
100152205216W500,100/15-22-052-16W5/00,023288,1,1894.03,DE,1904.42,0.46,,,,,,,,,,,,,,,,NOT ANALYSED - SHALE
100152205216W500,100/15-22-052-16W5/00,023288,1,1894.03,LC,1904.88,0.12,,,,,,,,,,,,,,,,LOST CORE
102062105217W500,102/06-21-052-17W5/00,083949,1,2574.0,DE,2574.0,3.15,,,,,,,,,,,,,,,,sh sdy
102062105217W500,102/06-21-052-17W5/00,083949,1,2574.0,FD,2577.15,0.22,0.24,,,0.049,2660.0,,,,,,,,,,,ss vf f glauc calc lam
102062105217W500,102/06-21-052-17W5/00,083949,1,2574.0,FD,2577.37,0.22,0.16,,,0.053,2680.0,,,,,,,,,,,ss vf f glauc calc lam
102062105217W500,102/06-21-052-17W5/00,083949,1,2574.0,FD,2577.59,0.12,0.14,,,0.042,2690.0,,,,,,,,,,,ss vf f glauc calc lam
102062105217W500,102/06-21-052-17W5/00,083949,1,2574.0,DE,2577.71,0.09,,,,,,,,,,,,,,,,ss carb
102062105217W500,102/06-21-052-17W5/00,083949,1,2574.0,FD,2577.8,0.09,0.05,,,0.041,2690.0,,,,,,,,,,,ss vf f grnl glauc calc lam
102062105217W500,102/06-21-052-17W5/00,083949,1,2574.0,FD,2577.89,0.22,0.59,0.58,0.31,0.078,2690.0,2480.0,,,,,,,,,,ss vf f m c vc glauc sid lam
102062105217W500,102/06-21-052-17W5/00,083949,1,2574.0,DE,2578.11,0.04,,,,,,,,,,,,,,,,sh sly
102062105217W500,102/06-21-052-17W5/00,083949,1,2574.0,FD,2578.15,0.06,1.63,,,0.081,2660.0,,,,,,,,,,,ss vf f glauc calc lam
102062105217W500,102/06-21-052-17W5/00,083949,1,2574.0,FD,2578.21,0.22,3.22,2.95,2.03,0.101,2660.0,2390.0,,,,,,,,,,ss vf f m c glauc lam
102062105217W500,102/06-21-052-17W5/00,083949,1,2574.0,FD,2578.43,0.12,4.08,,,0.089,2650.0,,,,,,,,,,,ss vf f glauc calc
102062105217W500,102/06-21-052-17W5/00,083949,1,2574.0,FD,2578.55,0.11,6.67,,,0.093,2650.0,,,,,,,,,,,ss vf f glauc calc
102062105217W500,102/06-21-052-17W5/00,083949,1,2574.0,FD,2578.66,0.15,7.07,6.67,4.8,0.108,2650.0,2370.0,,,,,,,,,,ss vf f m c lam
102062105217W500,102/06-21-052-17W5/00,083949,1,2574.0,FD,2578.81,0.07,7.58,,,0.092,2650.0,,,,,,,,,,,ss vf f glauc calc lam
102062105217W500,102/06-21-052-17W5/00,083949,1,2574.0,FD,2578.88,0.15,8.26,8.1,5.38,0.118,2660.0,2350.0,,,,,,,,,,ss vf f m c glauc lam
102062105217W500,102/06-21-052-17W5/00,083949,1,2574.0,FD,2579.03,0.07,6.72,,,0.093,2650.0,,,,,,,,,,,ss vf f glauc calc
102062105217W500,102/06-21-052-17W5/00,083949,1,2574.0,FD,2579.1,0.08,14.1,,,0.105,2650.0,,,,,,,,,,,ss vf f glauc calc lam
102062105217W500,102/06-21-052-17W5/00,083949,1,2574.0,FD,2579.18,0.2,6.57,6.57,2.66,0.112,2680.0,2380.0,,,,,,,,,,ss vf f m c glauc lam
102062105217W500,102/06-21-052-17W5/00,083949,1,2574.0,FD,2579.38,0.13,0.06,,,0.05,2680.0,,,,,,,,,,,ss vf f glauc calc lam
102062105217W500,102/06-21-052-17W5/00,083949,1,2574.0,FD,2579.51,0.1,0.01,,,0.035,2750.0,,,,,,,,,,,ss vf f glauc calc pyr lam
102062105217W500,102/06-21-052-17W5/00,083949,1,2574.0,FD,2579.61,0.17,0.05,,,0.035,2760.0,,,,,,,,,,,ss vf f glauc calc pyr lam
102062105217W500,102/06-21-052-17W5/00,083949,1,2574.0,FD,2579.78,0.25,0.03,,,0.027,2710.0,,,,,,,,,,,ss vf f glauc calc pyr carb lam
102062105217W500,102/06-21-052-17W5/00,083949,1,2574.0,DE,2580.03,3.12,,,,,,,,,,,,,,,,sh sdy
100152805418W500,100/15-28-054-18W5/00,031071,1,1840.0,DE,1840.0,2.35,,,,,,,,,,,,,,,,NOT ANALYSED - SHALE
100152805418W500,100/15-28-054-18W5/00,031071,1,1840.0,SS,1842.35,0.13,0.04,,,0.07,2630.0,,,,,,,,,,,SS  VF  ARGLCALCCARB
100152805418W500,100/15-28-054-18W5/00,031071,1,1840.0,SS,1842.48,0.15,0.11,,,0.082,2640.0,,,,,,,,,,,SS  VF  ARGLCALCCARB
100152805418W500,100/15-28-054-18W5/00,031071,1,1840.0,DE,1842.63,0.05,,,,,,,,,,,,,,,,NOT ANALYSED - ANHYDRITE
100152805418W500,100/15-28-054-18W5/00,031071,1,1840.0,SS,1842.68,0.2,0.43,,,0.119,2630.0,,,,,,,,,,,SS  VF  ARGLCALCCARB
100152805418W500,100/15-28-054-18W5/00,031071,1,1840.0,SS,1842.88,0.21,0.56,,,0.139,2650.0,,,,,,,,,,,SS  VF  ARGLCALCCARB
100152805418W500,100/15-28-054-18W5/00,031071,1,1840.0,SS,1843.09,0.16,1.12,,,0.136,2640.0,,,,,,,,,,,SS  VF  ARGLCALCCARB
100152805418W500,100/15-28-054-18W5/00,031071,1,1840.0,SS,1843.25,0.16,1.71,,,0.143,2630.0,,,,,,,,,,,SS  VF  ARGLCARB
100152805418W500,100/15-28-054-18W5/00,031071,1,1840.0,SS,1843.41,0.15,1.68,,,0.147,2660.0,,,,,,,,,,,SS  VF  ARGLCARB
100152805418W500,100/15-28-054-18W5/00,031071,1,1840.0,SS,1843.56,0.18,1.62,,,0.142,2630.0,,,,,,,,,,,SS  VF  ARGLCARB
100152805418W500,100/15-28-054-18W5/00,031071,1,1840.0,SS,1843.74,0.19,1.1,,,0.131,2640.0,,,,,,,,,,,SS  VF  ARGLCARB
100152805418W500,100/15-28-054-18W5/00,031071,1,1840.0,SS,1843.93,0.14,0.61,,,0.119,2640.0,,,,,,,,,,,SS  VF  ARGLCARB
100152805418W500,100/15-28-054-18W5/00,031071,1,1840.0,DE,1844.07,0.08,,,,,,,,,,,,,,,,NOT ANALYSED - SHALE
100152805418W500,100/15-28-054-18W5/00,031071,1,1840.0,SS,1844.15,0.14,0.01,,,0.05,2800.0,,,,,,,,,,,SS  VF  ARGLSID
100152805418W500,100/15-28-054-18W5/00,031071,1,1840.0,DE,1844.29,0.19,,,,,,,,,,,,,,,,NOT ANALYSED - SHALE
100152805418W500,100/15-28-054-18W5/00,031071,1,1840.0,SS,1844.48,0.11,0.01,,,0.078,2630.0,,,,,,,,,,,SS  VF  ARGLCALCCARB
100152805418W500,100/15-28-054-18W5/00,031071,1,1840.0,SS,1844.59,0.19,0.03,,,0.082,2640.0,,,,,,,,,,,SS  VF  ARGLCALCCARB
100152805418W500,100/15-28-054-18W5/00,031071,1,1840.0,DE,1844.78,0.33,,,,,,,,,,,,,,,,NOT ANALYSED - SHALE
100152805418W500,100/15-28-054-18W5/00,031071,1,1840.0,SS,1845.11,0.06,0.02,,,0.066,2640.0,,,,,,,,,,,SS  VF  ARGLCALCCARB
100152805418W500,100/15-28-054-18W5/00,031071,1,1840.0,DE,1845.17,0.03,,,,,,,,,,,,,,,,NOT ANALYSED - SHALE
100152805418W500,100/15-28-054-18W5/00,031071,1,1840.0,SS,1845.2,0.06,0.02,,,0.066,2640.0,,,,,,,,,,,SS  VF  ARGLCARB
100152805418W500,100/15-28-054-18W5/00,031071,1,1840.0,DE,1845.26,0.17,,,,,,,,,,,,,,,,NOT ANALYSED - SHALE
100152805418W500,100/15-28-054-18W5/00,031071,1,1840.0,SS,1845.43,0.2,0.01,,,0.06,2640.0,,,,,,,,,,,SS  VF  ARGLCALCCARB
100152805418W500,100/15-28-054-18W5/00,031071,1,1840.0,DE,1845.63,0.74,,,,,,,,,,,,,,,,NOT ANALYSED - SHALE
100152805418W500,100/15-28-054-18W5/00,031071,1,1840.0,SS,1846.37,0.14,0.03,,,0.052,2640.0,,,,,,,,,,,SS  VF  ARGLSH  CARB
100152805418W500,100/15-28-054-18W5/00,031071,1,1840.0,SS,1846.51,0.08,0.02,,,0.048,2650.0,,,,,,,,,,,SS  VF  ARGLSH  CARB
100152805418W500,100/15-28-054-18W5/00,031071,1,1840.0,DE,1846.59,0.31,,,,,,,,,,,,,,,,NOT ANALYSED - SHALE
100152805418W500,100/15-28-054-18W5/00,031071,1,1840.0,SS,1846.9,0.12,0.02,,,0.042,2660.0,,,,,,,,,,,SS  VF  ARGLSH  PRY
100152805418W500,100/15-28-054-18W5/00,031071,1,1840.0,DE,1847.02,0.34,,,,,,,,,,,,,,,,NOT ANALYSED - SHALE
100152805418W500,100/15-28-054-18W5/00,031071,1,1840.0,SS,1847.36,0.04,0.01,,,0.041,2650.0,,,,,,,,,,,SS  VF  ARGLCALCCARB
100152805418W500,100/15-28-054-18W5/00,031071,1,1840.0,DE,1847.4,0.53,,,,,,,,,,,,,,,,NOT ANALYSED - SHALE
100152805418W500,100/15-28-054-18W5/00,031071,1,1840.0,SS,1847.93,0.08,0.01,,,0.041,2660.0,,,,,,,,,,,SS  VF  ARGLSH  PRY
100152805418W500,100/15-28-054-18W5/00,031071,1,1840.0,DE,1848.01,9.59,,,,,,,,,,,,,,,,NOT ANALYSED - SHALE
100152805418W500,100/15-28-054-18W5/00,031071,1,1840.0,LC,1857.6,0.6,,,,,,,,,,,,,,,,LOST CORE
100152805418W500,100/15-28-054-18W5/00,031071,2,1840.0,DE,1862.0,2.25,,,,,,,,,,,,,,,,NOT ANALYSED - SHALE
100152805418W500,100/15-28-054-18W5/00,031071,2,1840.0,FD,1864.25,0.12,5.6,1.77,0.7,0.023,2660.0,,,,,,,,,,,SS  VF  ARGLCHT
100152805418W500,100/15-28-054-18W5/00,031071,2,1840.0,DE,1864.37,0.37,,,,,,,,,,,,,,,,NOT ANALYSED - SHALE
100153205418W500,100/15-32-054-18W5/00,032101,1,1857.0,DE,1860.1,0.26,,,,,,,,,,,,,,,,NOT ANALYSED - SHALE
100152805418W500,100/15-28-054-18W5/00,031071,2,1840.0,FD,1864.74,0.15,6.76,6.4,0.76,0.028,2660.0,,,,,,,,,,,SS  VF  ARGLSH  SID
100152805418W500,100/15-28-054-18W5/00,031071,2,1840.0,FD,1864.89,0.24,9.52,8.05,0.44,0.027,2690.0,,,,,,,,,,,SS  VF  ARGLSH  SID
100152805418W500,100/15-28-054-18W5/00,031071,2,1840.0,SS,1865.13,0.18,8.47,,,0.056,2860.0,,,,,,,,,,,SS  VF  ARGLSID
100152805418W500,100/15-28-054-18W5/00,031071,2,1840.0,FD,1865.31,0.12,37.0,32.6,1.93,0.084,2760.0,,,,,,,,,,,SS  VF  ARGLCHT SID
100152805418W500,100/15-28-054-18W5/00,031071,2,1840.0,DE,1865.43,0.11,,,,,,,,,,,,,,,,NOT ANALYSED - SHALE
100152805418W500,100/15-28-054-18W5/00,031071,2,1840.0,FD,1865.54,0.16,0.4,,,0.044,2640.0,,,,,,,,,,,SS  VF  ARGLSH
100152805418W500,100/15-28-054-18W5/00,031071,2,1840.0,DE,1865.7,0.08,,,,,,,,,,,,,,,,NOT ANALYSED - ANHYDRITE
100152805418W500,100/15-28-054-18W5/00,031071,2,1840.0,SS,1865.78,0.08,5.01,,,0.081,2620.0,,,,,,,,,,,SS  VF  ARGLSH  CARB
100152805418W500,100/15-28-054-18W5/00,031071,2,1840.0,FD,1865.86,0.13,13.1,11.0,0.89,0.021,2670.0,,,,,,,,,,,SS  VF  ARGLSID
100152805418W500,100/15-28-054-18W5/00,031071,2,1840.0,FD,1865.99,0.13,13.9,7.17,0.36,0.038,2660.0,,,,,,,,,,,SS  VF  ARGLSH  SID
100152805418W500,100/15-28-054-18W5/00,031071,2,1840.0,DE,1866.12,0.15,,,,,,,,,,,,,,,,NOT ANALYSED - SHALE
100152805418W500,100/15-28-054-18W5/00,031071,2,1840.0,SS,1866.27,0.24,0.26,,,0.035,2660.0,,,,,,,,,,,SS  VF  ARGL
100152805418W500,100/15-28-054-18W5/00,031071,2,1840.0,DE,1866.51,3.45,,,,,,,,,,,,,,,,NOT ANALYSED - SHALE
100152805418W500,100/15-28-054-18W5/00,031071,2,1840.0,SS,1869.96,0.14,0.3,,,0.037,2650.0,,,,,,,,,,,SS  VF  ARGL
100152805418W500,100/15-28-054-18W5/00,031071,2,1840.0,SS,1870.1,0.21,0.12,,,0.035,2640.0,,,,,,,,,,,SS  VF  ARGL
100152805418W500,100/15-28-054-18W5/00,031071,2,1840.0,SS,1870.31,0.22,0.18,,,0.041,2650.0,,,,,,,,,,,SS  VF  ARGL
100152805418W500,100/15-28-054-18W5/00,031071,2,1840.0,SS,1870.53,0.26,0.21,,,0.044,2640.0,,,,,,,,,,,SS  VF  ARGL
100152805418W500,100/15-28-054-18W5/00,031071,2,1840.0,SS,1870.79,0.21,0.23,,,0.045,2640.0,,,,,,,,,,,SS  VF  ARGL
100152805418W500,100/15-28-054-18W5/00,031071,2,1840.0,SS,1871.0,0.16,0.19,,,0.041,2640.0,,,,,,,,,,,SS  VF  ARGL
100152805418W500,100/15-28-054-18W5/00,031071,2,1840.0,DE,1871.16,0.14,,,,,,,,,,,,,,,,NOT ANALYSED - SHALE
100152805418W500,100/15-28-054-18W5/00,031071,2,1840.0,SS,1871.3,0.22,0.19,,,0.043,2640.0,,,,,,,,,,,SS  VF  ARGL
100152805418W500,100/15-28-054-18W5/00,031071,2,1840.0,SS,1871.52,0.23,0.27,,,0.047,2640.0,,,,,,,,,,,SS  VF  ARGL
100152805418W500,100/15-28-054-18W5/00,031071,2,1840.0,SS,1871.75,0.18,0.24,,,0.042,2650.0,,,,,,,,,,,SS  VF  ARGL
100152805418W500,100/15-28-054-18W5/00,031071,2,1840.0,SS,1871.93,0.16,0.02,,,0.05,2640.0,,,,,,,,,,,SS  VF  ARGL
100152805418W500,100/15-28-054-18W5/00,031071,2,1840.0,SS,1872.09,0.16,0.04,,,0.07,2650.0,,,,,,,,,,,SS  VF  ARGL
100152805418W500,100/15-28-054-18W5/00,031071,2,1840.0,SS,1872.25,0.2,0.06,,,0.05,2640.0,,,,,,,,,,,SS  VF  ARGL
100152805418W500,100/15-28-054-18W5/00,031071,2,1840.0,SS,1872.45,0.21,0.03,,,0.046,2640.0,,,,,,,,,,,SS  VF  ARGL
100152805418W500,100/15-28-054-18W5/00,031071,2,1840.0,SS,1872.66,0.16,0.07,,,0.046,2640.0,,,,,,,,,,,SS  VF  ARGL
100152805418W500,100/15-28-054-18W5/00,031071,2,1840.0,SS,1872.82,0.21,0.06,,,0.043,2630.0,,,,,,,,,,,SS  VF  ARGL
