Pas File Name,Wellbore UWI,License Number,Formatted UWI,Producing Zone,Fluid,Fluid Desc,Interval Top TVD (m),Interval Bottom TVD (m),Interval Top Log,Interval Bottom Log,Test Purpose,Test Type,Test Type Desc,Initial Tubing Pressure (kPa),Final Tubing Pressure (kPa),Initial Casing Pressure (kPa),Final Casing Pressure (kPa),Surface Temperature (C),Well Shut In Date,Final Test Date,Test Duration Hours,Reservoir Temperature (C),Gauge Run Depth TVD (m),Gauge Run Depth TMD (m),Last Measured Pressure at Run Depth (kPa),Pressure Correction (kPa),Representative Pressure at MPP (kPa),Reservoir Pressure Gradient (kPa/m),Representative Average Reservoir Pressure (kPa),Liquid Level CF TVD (m),Gas Gradient (kPa/m),Liquid Gradient (kPa/m)
6775528_100-01-08-060-21-W5-00-GETHING-GRD-2006-08-22.PAS,100010806021W500,358331,100/01-08-060-21W5/00,Gething,02,Gas,2453.0,2459.0,2453.0,2459.0,I,03,Bottom Hole - Static Gradient,5300.0,13443.0,5863.0,13507.0,,2006-08-10,2006-08-22,0,92.08,,2446.0,16905.14,1.72,16906.86,,,,0.312,
000000230967400.PAS,100011905518W500,90269,100/01-19-055-18W5/00,Cardium,02,Gas,1907.5,1934.5,1907.5,1934.5,Y,03,Bottom Hole - Static Gradient,1233.0,,1313.0,,,2003-09-06,2003-09-17,0,63.07,1921.0,,1729.2,,,8.002,,1890.78,,
7169516_10021903_GRD.pas,100012805720W500,0414207,100/01-28-057-20W5/00,Cardium,01,Oil,1768.5,1776.6,1995.8,3015.0,I,03,Bottom Hole - Static Gradient,7920.0,7920.0,9920.0,9920.0,,2010-01-22,2010-02-13,0,62.34,1676.5,1689.6,16487.07,4509.41,20996.5,12.52400835073069,,535.9,0.862,5.575
000000108236600.PAS,100021905320W500,251378,100/02-19-053-20W5/00,CARDIUM CGL,02,Gas,2180.3,2213.5,2184.0,2217.2,Y,03,Bottom Hole - Static Gradient,15143.0,,15183.0,,,2001-04-05,2001-04-30,0,81.81,2196.9,,19339.3,,,1.063,,,,
6974775_100-02-28-064-18W5-0-SG-2008-07-24.PAS,100022806418W500,0018434,100/02-28-064-18W5/00,NOTIKEWIN,02,Gas,1399.03,1401.78,1399.03,1401.78,O,03,Bottom Hole - Static Gradient,455.0,455.0,455.0,,,2008-07-03,2008-07-24,0,59.6,,1395.0,579.47,,582.49,,,,,
7028729_100-03-22-057-20-W5-02-Cardium-GRD-2008-02-22.pas,100032205720W502,371515,100/03-22-057-20W5/02,Cardium,01,Oil,1943.0,1945.5,1943.0,1945.5,I,03,Bottom Hole - Static Gradient,5234.0,8086.0,,,,2008-02-03,2008-02-22,456,65.7,,1882.1,17521.6,380.77,17902.37,,,,0.837,6.651
000000110983700.PAS,100040605319W500,0252239,100/04-06-053-19W5/00,CARDIUM,2,Gas,2104.11,2120.15,2252.0,2269.0,Y,3,Bottom Hole - Static Gradient,5006.0,11296.0,5240.0,11386.0,,2001-04-28,2001-05-22,648,74.27,2099.59,,13915.06,,,1.09,,,,
000000183123800.PAS,100041505619W502,0092507,100/04-15-056-19W5/02,CARDIUM FM,02,Gas,2095.0,2114.0,2095.0,2114.0,Y,03,Bottom Hole - Static Gradient,1063.0,93.0,0.01,93.0,1.0,2002-06-24,2002-06-25,0,67.14,2082.65,,2600.87,,,6.576,,1883.19,,
000000183123600.PAS,100041505619W502,0092507,100/04-15-056-19W5/02,CARDIUM FM,02,Gas,2095.0,2114.0,2095.0,2114.0,Y,03,Bottom Hole - Static Gradient,1063.0,7203.0,0.01,93.0,1.0,2002-07-01,2002-07-24,0,69.42,2070.65,,10999.62,,,7.7,,1700.76,,
000000221363500.PAS,100042105519W500,280424,100/04-21-055-19W5/00,Cadomin,02,Gas,2756.0,2761.0,2756.0,2761.0,Y,03,Bottom Hole - Static Gradient,16513.0,,16663.0,,,2003-06-22,2003-07-03,0,97.72,2753.9,,21261.8,,,1.654,,,,
000000230661800.PAS,100042105519W500,280424,100/04-21-055-19W5/00,Cadomin,02,Gas,2756.0,2761.0,2756.0,2761.0,Y,03,Bottom Hole - Static Gradient,10238.0,,10263.0,,,2003-09-05,2003-09-15,0,96.39,2758.5,,13001.4,,,1.297,,,,
000000221363100.PAS,100042105519W500,280424,100/04-21-055-19W5/00,Cadomin,02,Gas,2756.0,2761.0,2756.0,2761.0,Y,03,Bottom Hole - Static Gradient,16248.0,,16488.0,,,2003-06-19,2003-06-19,0,97.28,2753.9,,22132.3,,,6.004,,2566.02,,
7303085_100-04-28-055-19W5-GRD-WILRICH-2012-MAR-13.pas,100042805519W500,0438263,100/04-28-055-19W5/00,Wilrich,01,Oil,2536.09,2608.16,2561.76,3937.0,I,03,Bottom Hole - Static Gradient,7873.0,8037.0,7353.0,14186.0,,2012-02-28,2012-03-13,384,90.5,2531.29,2550.0,18447.32,417.47,18864.79,7.452638773115685,,946.92,0.839,6.005
6996272_NAL5-19B.pas,100051905518W500,0397251,100/05-19-055-18W5/00,Cardium,02,Gas,1946.86,1974.86,1947.0,1975.0,I,03,Bottom Hole - Static Gradient,1330.0,1330.0,2300.0,2300.0,,2008-08-06,2008-08-29,0,64.18,1955.86,1956.0,2859.35,-4.0,2855.35,1.459894865073217,,1822.83,0.113,10.0
6975733_100-07-16-064-20W5-0-SG-2008-06-24.PAS,100071606420W500,0031175,100/07-16-064-20W5/00,NOTIKEWIN A,02,Gas,1555.7,1564.2,1555.7,1564.2,O,03,Bottom Hole - Static Gradient,1663.0,1663.0,1692.0,1706.0,,2008-06-21,2008-06-24,0,60.5,,1556.94,1876.43,0.0,1876.43,,,,,
7389755_GRD-(07-28-055-19W5) - AWS - 2013-06-12.PAS,100072805519W500,0390785,100/07-28-055-19W5/00,GETH,01,Oil,2398.5,2708.5,2398.5,2708.5,A,10,AWS - Single-Shot (Static),,3301.0,,3482.0,1.1,2013-06-12,2013-06-27,360,85.0,,,,,6383.91,,,2300.81,0.402,9.095
7409064_GRD-(07-28-055-19W5) - AWS - 2013-06-12.PAS,100072805519W500,0390785,100/07-28-055-19W5/00,GETH,01,Oil,2664.0,2708.5,2664.0,2708.5,A,10,AWS - Single-Shot (Static),,3301.0,,,1.1,2013-06-12,2013-06-27,360,85.0,,,,,7537.89,,,2300.81,0.402,8.642
6981841_100-07-28-055-19W5-00-GRD.pas,100072805519W500,390785,100/07-28-055-19W5/00,Gething,02,Gas,2664.0,2708.5,2664.0,2708.5,O,03,Bottom Hole - Static Gradient,4296.0,8576.0,,,,2008-03-18,2008-04-06,528,95.29,,2642.0,18081.67,254.7,18333.81,,,,1.253,6.218
7476501_GRD-(07-28-055-19W5) - AWS - 2014-09-16.PAS,100072805519W500,0390785,100/07-28-055-19W5/00,GETH,01,Oil,2664.0,2708.5,2664.0,2708.5,A,10,AWS - Single-Shot (Static),,3128.0,,3203.0,1.1,2014-09-16,2014-09-30,336,85.0,,,,,6587.25,,,2374.59,0.402,8.642
000000087936900.PAS,100080705318W502,151491,100/08-07-053-18W5/02,CARDIUM,01,Oil,2030.0,2035.0,2030.0,2035.0,Y,03,Bottom Hole - Static Gradient,11093.0,,459.0,,,2000-10-26,2000-11-11,0,66.8,2032.5,,20029.5,,,8.016,,792.81,,
7358389_100-08-22-057-20-W5-00-Cardium KK-GRD-2012-12-13.pas,100082205720W500,0408609,100/08-22-057-20W5/00,Cardium KK,01,Oil,1950.9,1946.7,2117.5,2573.0,A,10,AWS - Single-Shot (Static),,,,,5.0,2012-11-27,2012-12-13,0,70.3,,,,,4104.0,,,1902.3,0.294,7.792
7108959_NAL-100-08-28-054-18W5-00-Cardium-SGA-06-Aug-2009 Bottom.pas,100082805418W500,0410555,100/08-28-054-18W5/00,Cardium,02,Gas,1865.78,1873.01,2062.4,2473.0,I,03,Bottom Hole - Static Gradient,93.0,1053.0,93.0,7358.0,,2009-07-21,2009-08-06,0,62.93,1742.87,1761.0,11819.65,1061.0,12880.65,7.390502210463398,,655.03,0.137,9.846
6860412_100-10-03-065-18W5-0-SG-2007-04-01.PAS,100100306518W500,0021217,100/10-03-065-18W5/00,NOTIKEWIN,02,Gas,1375.5,1378.5,1375.5,1378.5,O,03,Bottom Hole - Static Gradient,221.0,233.0,1351.0,1351.0,,2007-02-04,2007-04-01,0,57.6,,1353.0,1421.06,,1592.61,,,,,
000000125600300.PAS,100100506419W500,18037,100/10-05-064-19W5/00,Notikewin,02,Gas,1486.8,1490.5,1486.8,1490.5,Y,03,Bottom Hole - Static Gradient,593.0,,583.0,,,2001-08-21,2001-08-31,0,62.25,1488.65,,647.17,,,0.04,,,,
6851478_100-10-07-064-18W5-0-SG-2007-03-31.PAS,100100706418W500,0020309,100/10-07-064-18W5/00,NOTIKEWIN,02,Gas,1447.0,1451.5,1447.0,1451.5,O,03,Bottom Hole - Static Gradient,504.0,504.0,93.0,93.0,,2003-09-17,2007-03-31,0,60.3,,1442.0,598.99,,599.98,,,,,
