uwi,formatted uwi,tvd top depth (m),tvd bottom depth (m),tmd top depth (m),tmd bottom depth (m),formation name
100010105720W500,100/01-01-057-20W5/00,1859.9,1934.41,1861.2,1936.1,LEA PARK FM
100010105720W500,100/01-01-057-20W5/00,1934.41,2059.56,1936.1,2061.5,COLORADO GRP
100010105720W500,100/01-01-057-20W5/00,2059.56,2132.99,2061.5,2135.0,BADHEART FM
100010105720W500,100/01-01-057-20W5/00,2132.99,2150.88,2135.0,2152.9,CARDIUM FM
100010105720W500,100/01-01-057-20W5/00,2150.88,2179.27,2152.9,2181.3,CARDIUM SD
100010105720W500,100/01-01-057-20W5/00,2179.27,1000000.0,2181.3,1000000.0,BLACKSTONE FM
100010205720W500,100/01-02-057-20W5/00,1834.0,1907.0,1834.0,1907.0,LEA PARK FM
100010205720W500,100/01-02-057-20W5/00,1907.0,2034.0,1907.0,2034.0,COLORADO GRP
100010205720W500,100/01-02-057-20W5/00,2034.0,2110.0,2034.0,2110.0,BADHEART FM
100010205720W500,100/01-02-057-20W5/00,2110.0,2129.0,2110.0,2129.0,CARDIUM FM
100010205720W500,100/01-02-057-20W5/00,2129.0,1000000.0,2129.0,1000000.0,CARDIUM SD
100010806021W500,100/01-08-060-21W5/00,1435.39,1517.07,1435.39,1517.07,PUSKWASKAU FM
100010806021W500,100/01-08-060-21W5/00,1517.07,1618.08,1517.07,1618.08,COLORADO GRP
100010806021W500,100/01-08-060-21W5/00,1618.08,1634.85,1618.08,1634.85,BADHEART FM
100010806021W500,100/01-08-060-21W5/00,1634.85,1673.38,1634.85,1673.38,MUSKIKI FM
100010806021W500,100/01-08-060-21W5/00,1673.38,1702.94,1673.38,1702.94,CARDIUM FM
100010806021W500,100/01-08-060-21W5/00,1702.94,1747.53,1702.94,1747.53,CARDIUM SD
100010806021W500,100/01-08-060-21W5/00,1747.53,2077.31,1747.53,2077.31,KASKAPAU FM
100010806021W500,100/01-08-060-21W5/00,2077.31,2125.19,2077.31,2125.19,BASE FISH SCALES MARKER
100010806021W500,100/01-08-060-21W5/00,2125.19,2131.79,2125.19,2131.79,VIKING SANDSTONE
100010806021W500,100/01-08-060-21W5/00,2131.79,2150.34,2131.79,2150.34,HARMON MBR
100010806021W500,100/01-08-060-21W5/00,2150.34,2364.91,2150.34,2364.91,SPIRIT RIVER FM
100010806021W500,100/01-08-060-21W5/00,2364.91,2388.12,2364.91,2388.12,WILRICH MBR
100010806021W500,100/01-08-060-21W5/00,2388.12,2403.0,2388.12,2403.0,BLUESKY FM
100010806021W500,100/01-08-060-21W5/00,2403.0,2478.16,2403.0,2478.16,GETHING FM
100010806021W500,100/01-08-060-21W5/00,2478.16,1000000.0,2478.16,1000000.0,CADOMIN FM
100011105720W503,100/01-11-057-20W5/03,2224.0,2480.5,2224.0,2480.5,SECOND WHITE SPECKS
100011105720W503,100/01-11-057-20W5/03,2480.5,2518.0,2480.5,2518.0,BASE FISH SCALES MARKER
100011105720W503,100/01-11-057-20W5/03,2518.0,2539.0,2518.0,2539.0,VIKING SANDSTONE
100011105720W503,100/01-11-057-20W5/03,2539.0,2545.0,2539.0,2545.0,JOLI FOU FM
100011105720W503,100/01-11-057-20W5/03,2545.0,2766.0,2545.0,2766.0,MANNVILLE GRP
100011105720W503,100/01-11-057-20W5/03,2766.0,2781.0,2766.0,2781.0,BLUESKY FM
100011105720W503,100/01-11-057-20W5/03,2781.0,2844.0,2781.0,2844.0,GETHING FM
100011105720W503,100/01-11-057-20W5/03,2844.0,2858.0,2844.0,2858.0,CADOMIN FM
100011105720W503,100/01-11-057-20W5/03,2858.0,1000000.0,2858.0,1000000.0,FERNIE GRP
100011905518W500,100/01-19-055-18W5/00,1240.0,1600.5,1240.0,1600.5,BELLY RIVER GRP
100011905518W500,100/01-19-055-18W5/00,1600.5,1708.0,1600.5,1708.0,LEA PARK FM
100011905518W500,100/01-19-055-18W5/00,1708.0,1812.5,1708.0,1812.5,COLORADO GRP
100011905518W500,100/01-19-055-18W5/00,1812.5,1876.5,1812.5,1876.5,BADHEART FM
100011905518W500,100/01-19-055-18W5/00,1876.5,1904.0,1876.5,1904.0,CARDIUM FM
100011905518W500,100/01-19-055-18W5/00,1904.0,1000000.0,1904.0,1000000.0,CARDIUM SD
100013505419W502,100/01-35-054-19W5/02,1639.73,1751.72,1639.73,1751.72,LEA PARK FM
100013505419W502,100/01-35-054-19W5/02,1751.72,1932.84,1751.72,1932.84,COLORADO GRP
100013505419W502,100/01-35-054-19W5/02,1932.84,1960.0,1932.84,1960.0,CARDIUM FM
100013505419W502,100/01-35-054-19W5/02,1960.0,1988.72,1960.0,1988.72,CARDIUM SD
100013505419W502,100/01-35-054-19W5/02,1988.72,2115.09,1988.72,2115.09,KASKAPAU FM
100013505419W502,100/01-35-054-19W5/02,2115.09,2326.0,2115.09,2326.0,SECOND WHITE SPECKS
100013505419W502,100/01-35-054-19W5/02,2326.0,2362.0,2326.0,2362.0,BASE FISH SCALES MARKER
100013505419W502,100/01-35-054-19W5/02,2362.0,1000000.0,2362.0,1000000.0,VIKING SANDSTONE
100021705518W500,100/02-17-055-18W5/00,1545.0,1653.0,1545.0,1653.0,LEA PARK FM
100021705518W500,100/02-17-055-18W5/00,1653.0,1757.0,1653.0,1757.0,COLORADO GRP
100021705518W500,100/02-17-055-18W5/00,1757.0,1822.0,1757.0,1822.0,BADHEART FM
100021705518W500,100/02-17-055-18W5/00,1822.0,1849.0,1822.0,1849.0,CARDIUM FM
100021705518W500,100/02-17-055-18W5/00,1849.0,1886.0,1849.0,1886.0,CARDIUM SD
100021705518W500,100/02-17-055-18W5/00,1886.0,1998.0,1886.0,1998.0,BLACKSTONE FM
100021705518W500,100/02-17-055-18W5/00,1998.0,1000000.0,1998.0,1000000.0,SECOND WHITE SPECKS
100021905320W500,100/02-19-053-20W5/00,1813.43,1948.19,1816.25,1951.3,LEA PARK FM
100021905320W500,100/02-19-053-20W5/00,1948.19,2062.89,1951.3,2066.4,COLORADO GRP
100021905320W500,100/02-19-053-20W5/00,2062.89,2097.87,2066.4,2101.49,BADHEART FM
100021905320W500,100/02-19-053-20W5/00,2097.87,2167.73,2101.49,2171.46,MUSKIKI FM
100021905320W500,100/02-19-053-20W5/00,2167.73,2200.59,2171.46,2204.33,CARDIUM FM
100021905320W500,100/02-19-053-20W5/00,2200.59,1000000.0,2204.33,1000000.0,CARDIUM SD
100022306319W500,100/02-23-063-19W5/00,861.0,967.0,861.0,967.0,LEA PARK FM
100022306319W500,100/02-23-063-19W5/00,967.0,1456.0,967.0,1456.0,COLORADO GRP
100022306319W500,100/02-23-063-19W5/00,1456.0,1507.5,1456.0,1507.5,BASE FISH SCALES MARKER
100022306319W500,100/02-23-063-19W5/00,1507.5,1526.0,1507.5,1526.0,VIKING FM
