wellbore_uwi,formatted_uwi,date,oil_volume (m3),gas_volume (e3m3),water_volume (m3),injection_volume (m3),daily_oil_volume (m3/day),daily_gas_volume (e3m3/day),daily_water_volume (m3/day),daily_water_injection_volume (m3/day),production_hours,injection_hours,oil_producing_daily_avg (m3/day),gas_producing_daily_avg (e3m3/day),water_producing_daily_avg (m3/day),injection_producing_daily_avg (m3/day),steam_injection_volume (m3),daily_steam_injection_volume (m3/day),steam_injection_producing_daily_avg (m3/day),producing_formation
100010105720W500,100/01-01-057-20W5/00,1981-02-01,92.7,12.1,0,0,3.31,0.43,0,0,160,0,13.91,1.82,0,0,0,0,0,Cardium
100010105720W500,100/01-01-057-20W5/00,1981-03-01,318,56.8,0,0,10.26,1.83,0,0,455,0,16.77,3,0,0,0,0,0,Cardium
100010105720W500,100/01-01-057-20W5/00,1981-04-01,179.4,29.1,0,0,5.98,0.97,0,0,235,0,18.32,2.97,0,0,0,0,0,Cardium
100010105720W500,100/01-01-057-20W5/00,1981-05-01,83.6,8.7,0,0,2.7,0.28,0,0,171,0,11.73,1.22,0,0,0,0,0,Cardium
100010105720W500,100/01-01-057-20W5/00,1981-06-01,149.7,25.3,0,0,4.99,0.84,0,0,346,0,10.38,1.75,0,0,0,0,0,Cardium
100010105720W500,100/01-01-057-20W5/00,1981-07-01,158.8,18.3,0,0,5.12,0.59,0,0,391,0,9.75,1.12,0,0,0,0,0,Cardium
100010105720W500,100/01-01-057-20W5/00,1981-08-01,128.4,18.1,0,0,4.14,0.58,0,0,336,0,9.17,1.29,0,0,0,0,0,Cardium
100010105720W500,100/01-01-057-20W5/00,1981-09-01,149.7,28.8,0,0,4.99,0.96,0,0,374,0,9.61,1.85,0,0,0,0,0,Cardium
100010105720W500,100/01-01-057-20W5/00,1981-10-01,154.4,32.6,0,0,4.98,1.05,0,0,456,0,8.13,1.72,0,0,0,0,0,Cardium
100010105720W500,100/01-01-057-20W5/00,1981-11-01,154.5,22.7,0,0,5.15,0.76,0,0,568,0,6.53,0.96,0,0,0,0,0,Cardium
100010105720W500,100/01-01-057-20W5/00,1981-12-01,154.2,14.4,0,0,4.97,0.46,0,0,576,0,6.43,0.6,0,0,0,0,0,Cardium
100010105720W500,100/01-01-057-20W5/00,1982-01-01,151.9,32.1,0,0,4.9,1.04,0,0,624,0,5.84,1.23,0,0,0,0,0,Cardium
100010105720W500,100/01-01-057-20W5/00,1982-02-01,145.2,29,0,0,5.19,1.04,0,0,672,0,5.19,1.04,0,0,0,0,0,Cardium
100010105720W500,100/01-01-057-20W5/00,1982-03-01,145.4,34.1,0,0,4.69,1.1,0,0,744,0,4.69,1.1,0,0,0,0,0,Cardium
100010105720W500,100/01-01-057-20W5/00,1982-04-01,123.1,42.6,0,0,4.1,1.42,0,0,719,0,4.11,1.42,0,0,0,0,0,Cardium
100010105720W500,100/01-01-057-20W5/00,1982-05-01,113.3,27.7,0,0,3.65,0.89,0,0,744,0,3.65,0.89,0,0,0,0,0,Cardium
100010105720W500,100/01-01-057-20W5/00,1982-06-01,107.3,26.6,0,0,3.58,0.89,0,0,720,0,3.58,0.89,0,0,0,0,0,Cardium
100010105720W500,100/01-01-057-20W5/00,1982-07-01,102.5,23,0,0,3.31,0.74,0,0,744,0,3.31,0.74,0,0,0,0,0,Cardium
100010105720W500,100/01-01-057-20W5/00,1982-08-01,102.8,24.5,0,0,3.32,0.79,0,0,744,0,3.32,0.79,0,0,0,0,0,Cardium
100010105720W500,100/01-01-057-20W5/00,1982-09-01,85.1,22.3,0,0,2.84,0.74,0,0,720,0,2.84,0.74,0,0,0,0,0,Cardium
100010105720W500,100/01-01-057-20W5/00,1982-10-01,84.3,24.4,0,0,2.72,0.79,0,0,552,0,3.67,1.06,0,0,0,0,0,Cardium
100010105720W500,100/01-01-057-20W5/00,1982-11-01,81,32.7,0,0,2.7,1.09,0,0,384,0,5.06,2.04,0,0,0,0,0,Cardium
100010105720W500,100/01-01-057-20W5/00,1982-12-01,80.1,21,0,0,2.58,0.68,0,0,552,0,3.48,0.91,0,0,0,0,0,Cardium
100010105720W500,100/01-01-057-20W5/00,1983-01-01,66.2,20.1,0,0,2.14,0.65,0,0,696,0,2.28,0.69,0,0,0,0,0,Cardium
100010105720W500,100/01-01-057-20W5/00,1983-02-01,56.5,17.5,0,0,2.02,0.63,0,0,672,0,2.02,0.63,0,0,0,0,0,Cardium
100010105720W500,100/01-01-057-20W5/00,1983-03-01,57.2,17.6,0,0,1.85,0.57,0,0,645,0,2.13,0.65,0,0,0,0,0,Cardium
100010105720W500,100/01-01-057-20W5/00,1983-04-01,57.1,28.2,0,0,1.9,0.94,0,0,672,0,2.04,1.01,0,0,0,0,0,Cardium
100010105720W500,100/01-01-057-20W5/00,1983-05-01,63.9,40.3,0,0,2.06,1.3,0,0,744,0,2.06,1.3,0,0,0,0,0,Cardium
100010105720W500,100/01-01-057-20W5/00,1983-06-01,61.4,30.9,0,0,2.05,1.03,0,0,720,0,2.05,1.03,0,0,0,0,0,Cardium
100010105720W500,100/01-01-057-20W5/00,1983-07-01,60,29.2,0,0,1.94,0.94,0,0,740,0,1.95,0.95,0,0,0,0,0,Cardium
100010105720W500,100/01-01-057-20W5/00,1983-08-01,56,26,0,0,1.81,0.84,0,0,744,0,1.81,0.84,0,0,0,0,0,Cardium
100010105720W500,100/01-01-057-20W5/00,1983-09-01,51.4,25.6,0,0,1.71,0.85,0,0,720,0,1.71,0.85,0,0,0,0,0,Cardium
100010105720W500,100/01-01-057-20W5/00,1983-10-01,49.3,26.8,0,0,1.59,0.86,0,0,744,0,1.59,0.86,0,0,0,0,0,Cardium
100010105720W500,100/01-01-057-20W5/00,1983-11-01,37.3,23.4,0,0,1.24,0.78,0,0,384,0,2.33,1.46,0,0,0,0,0,Cardium
100010105720W500,100/01-01-057-20W5/00,1983-12-01,7.8,4,0,0,0.25,0.13,0,0,192,0,0.98,0.5,0,0,0,0,0,Cardium
100010105720W500,100/01-01-057-20W5/00,1984-01-01,103,54.1,0,0,3.32,1.75,0,0,600,0,4.12,2.16,0,0,0,0,0,Cardium
100010105720W500,100/01-01-057-20W5/00,1984-02-01,73.8,59,0,0,2.54,2.03,0,0,648,0,2.73,2.19,0,0,0,0,0,Cardium
100010105720W500,100/01-01-057-20W5/00,1984-03-01,65.7,70.3,0,0,2.12,2.27,0,0,744,0,2.12,2.27,0,0,0,0,0,Cardium
100010105720W500,100/01-01-057-20W5/00,1984-04-01,55.1,64.4,0,0,1.84,2.15,0,0,624,0,2.12,2.48,0,0,0,0,0,Cardium
100010105720W500,100/01-01-057-20W5/00,1984-05-01,53.9,81.6,0,0,1.74,2.63,0,0,720,0,1.8,2.72,0,0,0,0,0,Cardium
100010105720W500,100/01-01-057-20W5/00,1984-06-01,54.9,88.2,0,0,1.83,2.94,0,0,720,0,1.83,2.94,0,0,0,0,0,Cardium
100010105720W500,100/01-01-057-20W5/00,1984-07-01,51.1,88.6,0,0,1.65,2.86,0,0,744,0,1.65,2.86,0,0,0,0,0,Cardium
100010105720W500,100/01-01-057-20W5/00,1984-08-01,51.3,86.2,0,0,1.65,2.78,0,0,744,0,1.65,2.78,0,0,0,0,0,Cardium
100010105720W500,100/01-01-057-20W5/00,1984-09-01,46.5,74.8,0,0,1.55,2.49,0,0,720,0,1.55,2.49,0,0,0,0,0,Cardium
100010105720W500,100/01-01-057-20W5/00,1984-10-01,46.9,76.7,0,0,1.51,2.47,0,0,744,0,1.51,2.47,0,0,0,0,0,Cardium
100010105720W500,100/01-01-057-20W5/00,1984-11-01,39.5,69.1,0,0,1.32,2.3,0,0,648,0,1.46,2.56,0,0,0,0,0,Cardium
100010105720W500,100/01-01-057-20W5/00,1984-12-01,47.3,62.4,0,0,1.53,2.01,0,0,648,0,1.75,2.31,0,0,0,0,0,Cardium
100010105720W500,100/01-01-057-20W5/00,1985-01-01,42.1,74.1,0,0,1.36,2.39,0,0,720,0,1.4,2.47,0,0,0,0,0,Cardium
100010105720W500,100/01-01-057-20W5/00,1985-02-01,37.6,65.7,0,0,1.34,2.35,0,0,672,0,1.34,2.35,0,0,0,0,0,Cardium
