,,,,,,,,,,,,,,,,,,,,,,
,,,Pipeline Report,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"LICENSE /
LINE #",COMPANY NAME,,,,"LICENSE
DATE","FROM
LOCATION","TO
LOCATION","LGTH
(kms)",STS,SUB,"H2S
(mol/
kmol)","OD
(mm)","WT
(mm)",MAT,TYPE,GRD,"MOP
(kpa)",JNT,"INTL
COAT","STRESS
LEVEL
(%)",ENV,FIELD
16266 -  1,ALPHABOW ENERGY LTD.,,,,"Dec 3, 2009",16-18-55-18W5 WE,11-17-55-18W5 S,0.89,O,OE,0,60.3,3.18,S,Z245.3,2901,5100,W,U,17,,PINE CREEK
17784 -  1,ALPHABOW ENERGY LTD.,,,,"Aug 6, 2009",4-9-55-18W5 WE,12-9-55-18W5 B,0.89,O,OE,0,60.3,3.18,S,Z245.3,2901,5100,W,U,17,,PINE CREEK
17784 -  2,ALPHABOW ENERGY LTD.,,,,"Aug 6, 2009",11-25-55-19W5 BE,16-24-55-19W5 BE,1.77,D,OE,0,60.3,3,S,Z245.1,2901,0,W,U,0,,PINE CREEK
17784 -  3,ALPHABOW ENERGY LTD.,,,,"Aug 11, 1995",11-25-55-19W5 BE,16-24-55-19W5 BE,1.77,A,OE,0,60.3,3.18,S,Z245.3,2901,0,W,U,0,,PINE CREEK
17784 -  4,ALPHABOW ENERGY LTD.,,,,"Dec 7, 1995",7-25-55-19W5 BE,16-24-55-19W5 BE,0.86,A,OE,0,60.3,3.18,S,Z245.3,2901,0,W,U,0,,PINE CREEK
17784 -  7,ALPHABOW ENERGY LTD.,,,,"Aug 11, 1995",8-24-55-19W5 BE,16-24-55-19W5 BE,0.83,A,OE,0,60.3,3.18,S,Z245.3,2901,0,W,U,0,,PINE CREEK
17784 -  8,ALPHABOW ENERGY LTD.,,,,"Aug 11, 1995",8-24-55-19W5 BE,16-24-55-19W5 BE,0.83,A,OE,0,60.3,3.18,S,Z245.3,2901,0,W,U,0,,PINE CREEK
17784 -  9,ALPHABOW ENERGY LTD.,,,,"Aug 6, 2009",16-24-55-19W5 S,11-17-55-18W5 PL,3.36,O,OE,0,114.3,4.78,S,Z245.3,2901,5100,W,U,21,,PINE CREEK
17784 -  10,ALPHABOW ENERGY LTD.,,,,"Aug 6, 2009",16-18-55-18W5 BE,11-17-55-18W5 BE,0.89,D,OE,0,60.3,3.18,S,Z245.3,2901,0,W,U,0,,PINE CREEK
17784 -  11,ALPHABOW ENERGY LTD.,,,,"Dec 24, 2009",7-18-55-18W5 BE,11-17-55-18W5 BE,1.26,A,OE,0,60.3,3.18,S,Z245.3,2901,0,W,U,0,,PINE CREEK
17784 -  12,ALPHABOW ENERGY LTD.,,,,"Dec 24, 2009",7-18-55-18W5 BE,11-17-55-18W5 BE,1.26,A,OE,0,60.3,3.18,S,Z245.3,2901,0,W,U,0,,PINE CREEK
17784 -  14,ALPHABOW ENERGY LTD.,,,,"Aug 6, 2009",11-17-55-18W5 S,12-9-55-18W5 B,2.19,O,OE,0,168.3,4.78,S,Z245.3,2901,5100,W,U,31,,PINE CREEK
17784 -  15,ALPHABOW ENERGY LTD.,,,,"Aug 11, 1995",9-7-55-18W5 BE,12-9-55-18W5 BE,2.6,A,OE,0,60.3,3.18,S,Z245.3,2901,0,W,U,0,,PINE CREEK
17784 -  16,ALPHABOW ENERGY LTD.,,,,"Aug 11, 1995",9-7-55-18W5 BE,12-9-55-18W5 BE,2.6,A,OE,0,60.3,3.18,S,Z245.3,2901,0,W,U,0,,PINE CREEK
17784 -  17,ALPHABOW ENERGY LTD.,,,,"Aug 6, 2009",14-8-55-18W5 WE,12-9-55-18W5 B,1.76,O,OE,0,60.3,3.18,S,Z245.3,2901,5100,W,U,17,,PINE CREEK
17784 -  18,ALPHABOW ENERGY LTD.,,,,"Aug 6, 2009",14-8-55-18W5 BE,12-9-55-18W5 BE,1.76,D,OE,0,60.3,3.18,S,Z245.3,2901,0,W,U,0,,PINE CREEK
17784 -  19,ALPHABOW ENERGY LTD.,,,,"Aug 6, 2009",2-17-55-18W5 WE,12-9-55-18W5 B,1.2,O,OE,0,60.3,3.18,S,Z245.3,2901,5100,W,U,17,,PINE CREEK
17784 -  20,ALPHABOW ENERGY LTD.,,,,"Aug 6, 2009",2-17-55-18W5 BE,12-9-55-18W5 BE,1.2,D,OE,0,60.3,3.18,S,Z245.3,2901,0,W,U,0,,PINE CREEK
17784 -  21,ALPHABOW ENERGY LTD.,,,,"Dec 3, 2009",12-9-55-18W5 BE,12-9-55-18W5 BE,0.01,D,OE,0,60.3,3.18,S,Z245.3,2901,0,W,U,0,,PINE CREEK
17784 -  22,ALPHABOW ENERGY LTD.,,,,"Aug 6, 2009",8-8-55-18W5 WE,12-9-55-18W5 B,0.92,O,OE,0,60.3,3.18,S,Z245.3,2901,5100,W,U,17,,PINE CREEK
17784 -  23,ALPHABOW ENERGY LTD.,,,,"Aug 6, 2009",8-8-55-18W5 BE,12-9-55-18W5 BE,0.92,D,OE,0,60.3,3.18,S,Z245.3,2901,0,W,U,0,,PINE CREEK
17784 -  24,ALPHABOW ENERGY LTD.,,,,"Aug 6, 2009",16-5-55-18W5 WE,12-9-55-18W5 B,1.61,O,OE,0,60.3,3.18,S,Z245.3,2901,5100,W,U,17,,PINE CREEK
17784 -  25,ALPHABOW ENERGY LTD.,,,,"Aug 6, 2009",16-5-55-18W5 BE,12-9-55-18W5 BE,1.61,D,OE,0,60.3,3.18,S,Z245.3,2901,0,W,U,0,,PINE CREEK
