,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
AER Well Report,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
WELL ID,,LICENSE #,"LICENSE
DATE",,WELL NAME,LICENSEE,OPERATOR,"SURFACE
LOCATION","LICENSE
STATUS","LICENSE
STATUS
DATE","SPUD
DATE","RIG
RELEASE DATE","FINAL
DRILL
DATE",ON PROD DATE,"WELL
STATUS","ABANDON
DATE","LAST
PROD
DATE","LAST
INJECTION
DATE","SURFACE 
OFFSETS","SURFACE
LATITUDE","SURFACE
LONGITUDE","DOWNHOLE
LATITUDE","DOWNHOLE
LONGITUDE","H2S
(%)","POOL
(Production Control)",SCVF
100 / 08-21-063-19 W5 / 0,,0024335,"Jun 18, 1963",,SOC KAYBOB 8-21-63-19               ,ALPHABOW ENERGY LTD.,,08-21-063-19W5M,Abandoned   ,"Jan 4, 2005","Jun 20, 1963",,"Jul 3, 1963","Jul 11, 1963",WATER ABZONE INJ,"Dec 10, 2004","Jun 1, 1969","Oct 1, 1969",N 636.1 W 201.8,54.463716,-116.802153,54.463716,-116.802153,,COMMINGLED POOL 003,NO
100 / 08-21-063-19 W5 / 2,,0024335,"Jun 18, 1963",,SOC KAYBOB 8-21-63-19               ,ALPHABOW ENERGY LTD.,,08-21-063-19W5M,Abandoned   ,"Jan 4, 2005","Jun 20, 1963",,"Jul 3, 1963","Apr 7, 1994",GAS ABD,"Dec 10, 2004","Nov 1, 1995",,N 636.1 W 201.8,54.463716,-116.802153,54.463716,-116.802153,,NOTIKEWIN B,NO
100 / 14-22-063-19 W5 / 0,,0021161,"Aug 4, 1961",,SOC KAYBOB 14-22-63-19              ,ALPHABOW ENERGY LTD.,,14-22-063-19W5M,Abandoned   ,"Feb 2, 2002","Aug 11, 1961",,"Aug 23, 1961","Jun 4, 1963",CR-OIL ABZONE,"Feb 2, 2002","Nov 1, 1973",,S 201.2 E 652.3,54.470646,-116.788662,54.470646,-116.788662,,COMMINGLED POOL 003,NO
100 / 14-22-063-19 W5 / 2,,0021161,"Aug 4, 1961",,SOC KAYBOB 14-22-63-19              ,ALPHABOW ENERGY LTD.,,14-22-063-19W5M,Abandoned   ,"Feb 2, 2002","Aug 11, 1961",,"Aug 23, 1961",,ABD,"Feb 2, 2002",,,S 201.2 E 652.3,54.470646,-116.788662,54.470646,-116.788662,,,NO
100 / 02-23-063-19 W5 / 0,,0165665,"Mar 7, 1994",,SOC KAYBOB 2-23-63-19               ,ALPHABOW ENERGY LTD.,ALPHABOW ENERGY LTD.,02-23-063-19W5M,Issued      ,"Mar 7, 1994","Mar 16, 1994","Mar 27, 1994","Mar 24, 1994","Aug 30, 1995",GAS SUSP,,"Oct 1, 2017",,N 350.1 W 700.3,54.461142,-116.759432,54.461142,-116.759432,,NOTIKEWIN B,YES
102 / 10-27-063-19 W5 / 0,,0076558,"Jun 25, 1979",,SOC KAYBOB 10-27-63-19              ,ALPHABOW ENERGY LTD.,,10-27-063-19W5M,Suspension  ,"Jan 31, 2015","Jul 3, 1979",,"Jul 18, 1979",,GAS ABZONE,,"Nov 1, 1979",,S 741.1 W 592.6,54.480429,-116.78298,54.480429,-116.78298,,UNDEFINED POOL,NO
102 / 10-27-063-19 W5 / 2,,0076558,"Jun 25, 1979",,SOC KAYBOB 10-27-63-19              ,ALPHABOW ENERGY LTD.,ALPHABOW ENERGY LTD.,10-27-063-19W5M,Suspension  ,"Jan 31, 2015","Jul 3, 1979",,"Jul 18, 1979","Apr 7, 1994",GAS SUSP,,"Jan 1, 2014",,S 741.1 W 592.6,54.480429,-116.78298,54.480429,-116.78298,,NOTIKEWIN B,NO
100 / 06-28-063-19 W5 / 0,,0025155,"Nov 19, 1963",,SOC KAYBOB 6-28-63-19               ,ALPHABOW ENERGY LTD.,,06-28-063-19W5M,Suspension  ,"Sep 30, 2019","Dec 3, 1963",,"Dec 15, 1963","Feb 21, 1964",CR-OIL ABZONE,,"Oct 1, 1974",,N 615.7 E 591.3,54.47817,-116.814805,54.47817,-116.814805,,COMMINGLED POOL 003,NO
100 / 06-28-063-19 W5 / 2,,0025155,"Nov 19, 1963",,SOC KAYBOB 6-28-63-19               ,ALPHABOW ENERGY LTD.,ALPHABOW ENERGY LTD.,06-28-063-19W5M,Suspension  ,"Sep 30, 2019","Dec 3, 1963",,"Dec 15, 1963","Apr 7, 1994",GAS SUSP,,"May 1, 2018",,N 615.7 E 591.3,54.47817,-116.814805,54.47817,-116.814805,,NOTIKEWIN B,NO
100 / 10-29-063-19 W5 / 0,,0393884,"Feb 8, 2008",,SOC KAYBOB 10-29-63-19              ,ALPHABOW ENERGY LTD.,,10-29-063-19W5M,Suspension  ,"Aug 7, 2009","Feb 21, 2008","Feb 28, 2008","Feb 26, 2008",,DRL&C,,,,S 765.6 W 772.8,54.480217,-116.836151,54.480217,-116.836151,,,NO
100 / 10-31-064-17 W5 / 0,,0022140,"Feb 21, 1962",,SOC KAYBOB 10-31-64-17              ,ALPHABOW ENERGY LTD.,,10-31-064-17W5M,Abandoned   ,"Jan 4, 2005","Feb 23, 1962",,"Mar 12, 1962","Mar 9, 1986",GAS ABD,"Dec 10, 2004","May 1, 2001",,S 603.5 W 618.7,54.583355,-116.55654,54.583355,-116.55654,,NOTIKEWIN B,NO
100 / 10-07-064-18 W5 / 0,,0020309,"Jan 23, 1961",,SOC KAYBOB 10-7-64-18               ,ALPHABOW ENERGY LTD.,ALPHABOW ENERGY LTD.,10-07-064-18W5M,Suspension  ,"Nov 13, 2007","Jan 24, 1961",,"Feb 2, 1961","Mar 23, 1962",GAS SUSP,,"Sep 1, 2003",,S 603.5 W 604.4,54.525188,-116.70756,54.525188,-116.70756,,NOTIKEWIN B,NO
100 / 10-17-064-18 W5 / 0,,0020242,"Jan 6, 1961",,SOC KAYBOB 10-17-64-18              ,ALPHABOW ENERGY LTD.,,10-17-064-18W5M,Abandoned   ,"Mar 23, 2005","Jan 7, 1961",,"Jan 17, 1961","Mar 23, 1962",GAS ABD,"Mar 22, 2005","May 1, 1995",,S 603.5 W 602,54.539836,-116.682313,54.539836,-116.682313,,NOTIKEWIN B,NO
100 / 02-28-064-18 W5 / 0,,0018434,"Dec 31, 1959",,SOC KAYBOB 2-28-64-18               ,ALPHABOW ENERGY LTD.,ALPHABOW ENERGY LTD.,02-28-064-18W5M,Suspension  ,"Nov 30, 2012","Jan 16, 1960",,"Mar 15, 1960","Mar 23, 1962",GAS SUSP,,"Nov 1, 2011",,N 201.2 W 603.5,54.561706,-116.657129,54.561706,-116.657129,0.01,NOTIKEWIN B,NO
100 / 10-29-064-18 W5 / 0,,0020396,"Feb 9, 1961",,SOC KAYBOB 10-29-64-18              ,ALPHABOW ENERGY LTD.,ALPHABOW ENERGY LTD.,10-29-064-18W5M,Suspension  ,"Nov 17, 2008","Feb 21, 1961",,"Feb 28, 1961","Jan 8, 1978",GAS SUSP,,"Aug 1, 2008",,S 603.5 W 603.8,54.568931,-116.68235,54.568931,-116.68235,,NOTIKEWIN B,NO
100 / 06-03-064-19 W5 / 0,,0078646,"Oct 17, 1979",,SOC KAYBOB 6-3-64-19                ,ALPHABOW ENERGY LTD.,,06-03-064-19W5M,Suspension  ,"Oct 28, 2022","Nov 10, 1979",,"Nov 25, 1979",,GAS ABZONE,,"Dec 1, 1981",,N 680.8 E 709.6,54.507846,-116.787769,54.507846,-116.787769,,UNDEFINED POOL,NO
100 / 06-03-064-19 W5 / 2,,0078646,"Oct 17, 1979",,SOC KAYBOB 6-3-64-19                ,ALPHABOW ENERGY LTD.,ALPHABOW ENERGY LTD.,06-03-064-19W5M,Suspension  ,"Oct 28, 2022","Nov 10, 1979",,"Nov 25, 1979","Apr 7, 1994",GAS SUSP,,"Apr 1, 2019",,N 680.8 E 709.6,54.507846,-116.787769,54.507846,-116.787769,,NOTIKEWIN B,NO
100 / 10-05-064-19 W5 / 0,,0018037,"Oct 30, 1959",,SOC KAYBOB 10-5-64-19               ,ALPHABOW ENERGY LTD.,,10-05-064-19W5M,Issued      ,"Oct 30, 1959","Nov 17, 1959",,"Dec 26, 1959","Jan 7, 1960",CR-OIL SUSP,,,,S 603.5 W 603.5,54.510753,-116.833573,54.510753,-116.833573,,BEAVERHILL LAKE A,NO
